window,method,F1,n,scenario
1,TF-Vote-NoDecay,0.7396,338,gradual|3src|title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|3src|title
2,WV-static,0.7902,491,gradual|3src|title
2,TF-Vote-NoDecay,0.7862,491,gradual|3src|title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|3src|title
3,WV-static,0.8155,580,gradual|3src|title
3,TF-Vote-NoDecay,0.8155,580,gradual|3src|title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|3src|title
4,WV-static,0.8553,629,gradual|3src|title
4,TF-Vote-NoDecay,0.8569,629,gradual|3src|title
4,TF-Vote-Decay-3.0,0.8521,629,gradual|3src|title
5,WV-static,0.875,648,gradual|3src|title
5,TF-Vote-NoDecay,0.8781,648,gradual|3src|title
5,TF-Vote-Decay-3.0,0.875,648,gradual|3src|title
6,WV-static,0.9026,657,gradual|3src|title
6,TF-Vote-NoDecay,0.9102,657,gradual|3src|title
6,TF-Vote-Decay-3.0,0.9011,657,gradual|3src|title
7,WV-static,0.9123,661,gradual|3src|title
7,TF-Vote-NoDecay,0.9138,661,gradual|3src|title
7,TF-Vote-Decay-3.0,0.9244,661,gradual|3src|title
8,WV-static,0.9319,661,gradual|3src|title
8,TF-Vote-NoDecay,0.9425,661,gradual|3src|title
8,TF-Vote-Decay-3.0,0.941,661,gradual|3src|title
1,WV-static,0.7396,338,gradual|3src|brand+title
1,TF-Vote-NoDecay,0.7396,338,gradual|3src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|3src|brand+title
2,WV-static,0.7902,491,gradual|3src|brand+title
2,TF-Vote-NoDecay,0.7862,491,gradual|3src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|3src|brand+title
3,WV-static,0.8155,580,gradual|3src|brand+title
3,TF-Vote-NoDecay,0.8155,580,gradual|3src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|3src|brand+title
4,WV-static,0.8442,629,gradual|3src|brand+title
4,TF-Vote-NoDecay,0.8458,629,gradual|3src|brand+title
4,TF-Vote-Decay-3.0,0.841,629,gradual|3src|brand+title
5,WV-static,0.8596,648,gradual|3src|brand+title
5,TF-Vote-NoDecay,0.858,648,gradual|3src|brand+title
5,TF-Vote-Decay-3.0,0.858,648,gradual|3src|brand+title
6,WV-static,0.8767,657,gradual|3src|brand+title
6,TF-Vote-NoDecay,0.8752,657,gradual|3src|brand+title
6,TF-Vote-Decay-3.0,0.8721,657,gradual|3src|brand+title
7,WV-static,0.885,661,gradual|3src|brand+title
7,TF-Vote-NoDecay,0.8896,661,gradual|3src|brand+title
7,TF-Vote-Decay-3.0,0.9017,661,gradual|3src|brand+title
8,WV-static,0.885,661,gradual|3src|brand+title
8,TF-Vote-NoDecay,0.9092,661,gradual|3src|brand+title
8,TF-Vote-Decay-3.0,0.9047,661,gradual|3src|brand+title
1,WV-static,0.7396,338,gradual|5src|brand
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|brand
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|brand
2,WV-static,0.7902,491,gradual|5src|brand
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|brand
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|brand
3,WV-static,0.8155,580,gradual|5src|brand
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|brand
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|brand
4,WV-static,0.849,629,gradual|5src|brand
4,TF-Vote-NoDecay,0.849,629,gradual|5src|brand
4,TF-Vote-Decay-3.0,0.8458,629,gradual|5src|brand
5,WV-static,0.8657,648,gradual|5src|brand
5,TF-Vote-NoDecay,0.8642,648,gradual|5src|brand
5,TF-Vote-Decay-3.0,0.8611,648,gradual|5src|brand
6,WV-static,0.8889,657,gradual|5src|brand
6,TF-Vote-NoDecay,0.8813,657,gradual|5src|brand
6,TF-Vote-Decay-3.0,0.8843,657,gradual|5src|brand
7,WV-static,0.9002,661,gradual|5src|brand
7,TF-Vote-NoDecay,0.9047,661,gradual|5src|brand
7,TF-Vote-Decay-3.0,0.9092,661,gradual|5src|brand
8,WV-static,0.9002,661,gradual|5src|brand
8,TF-Vote-NoDecay,0.9153,661,gradual|5src|brand
8,TF-Vote-Decay-3.0,0.9153,661,gradual|5src|brand
1,WV-static,0.7396,338,gradual|5src|title
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|title
2,WV-static,0.7902,491,gradual|5src|title
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|title
3,WV-static,0.8155,580,gradual|5src|title
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|title
4,WV-static,0.8537,629,gradual|5src|title
4,TF-Vote-NoDecay,0.8553,629,gradual|5src|title
4,TF-Vote-Decay-3.0,0.8506,629,gradual|5src|title
5,WV-static,0.8719,648,gradual|5src|title
5,TF-Vote-NoDecay,0.875,648,gradual|5src|title
5,TF-Vote-Decay-3.0,0.8719,648,gradual|5src|title
6,WV-static,0.898,657,gradual|5src|title
6,TF-Vote-NoDecay,0.9026,657,gradual|5src|title
6,TF-Vote-Decay-3.0,0.895,657,gradual|5src|title
7,WV-static,0.9017,661,gradual|5src|title
7,TF-Vote-NoDecay,0.9002,661,gradual|5src|title
7,TF-Vote-Decay-3.0,0.9077,661,gradual|5src|title
8,WV-static,0.9183,661,gradual|5src|title
8,TF-Vote-NoDecay,0.9183,661,gradual|5src|title
8,TF-Vote-Decay-3.0,0.9183,661,gradual|5src|title
1,WV-static,0.7396,338,gradual|5src|brand+title
1,TF-Vote-NoDecay,0.7396,338,gradual|5src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,gradual|5src|brand+title
2,WV-static,0.7902,491,gradual|5src|brand+title
2,TF-Vote-NoDecay,0.7862,491,gradual|5src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,gradual|5src|brand+title
3,WV-static,0.8155,580,gradual|5src|brand+title
3,TF-Vote-NoDecay,0.8155,580,gradual|5src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,gradual|5src|brand+title
4,WV-static,0.8394,629,gradual|5src|brand+title
4,TF-Vote-NoDecay,0.841,629,gradual|5src|brand+title
4,TF-Vote-Decay-3.0,0.8362,629,gradual|5src|brand+title
5,WV-static,0.8488,648,gradual|5src|brand+title
5,TF-Vote-NoDecay,0.8472,648,gradual|5src|brand+title
5,TF-Vote-Decay-3.0,0.8472,648,gradual|5src|brand+title
6,WV-static,0.8615,657,gradual|5src|brand+title
6,TF-Vote-NoDecay,0.8569,657,gradual|5src|brand+title
6,TF-Vote-Decay-3.0,0.8569,657,gradual|5src|brand+title
7,WV-static,0.8593,661,gradual|5src|brand+title
7,TF-Vote-NoDecay,0.8623,661,gradual|5src|brand+title
7,TF-Vote-Decay-3.0,0.8714,661,gradual|5src|brand+title
8,WV-static,0.8487,661,gradual|5src|brand+title
8,TF-Vote-NoDecay,0.8608,661,gradual|5src|brand+title
8,TF-Vote-Decay-3.0,0.8623,661,gradual|5src|brand+title
1,WV-static,0.7396,338,recurring|2src|brand
1,TF-Vote-NoDecay,0.7396,338,recurring|2src|brand
1,TF-Vote-Decay-3.0,0.7396,338,recurring|2src|brand
2,WV-static,0.7902,491,recurring|2src|brand
2,TF-Vote-NoDecay,0.7862,491,recurring|2src|brand
2,TF-Vote-Decay-3.0,0.7882,491,recurring|2src|brand
3,WV-static,0.8155,580,recurring|2src|brand
3,TF-Vote-NoDecay,0.8155,580,recurring|2src|brand
3,TF-Vote-Decay-3.0,0.8172,580,recurring|2src|brand
4,WV-static,0.814,629,recurring|2src|brand
4,TF-Vote-NoDecay,0.814,629,recurring|2src|brand
4,TF-Vote-Decay-3.0,0.8108,629,recurring|2src|brand
5,WV-static,0.8318,648,recurring|2src|brand
5,TF-Vote-NoDecay,0.8472,648,recurring|2src|brand
5,TF-Vote-Decay-3.0,0.8426,648,recurring|2src|brand
6,WV-static,0.8782,657,recurring|2src|brand
6,TF-Vote-NoDecay,0.8935,657,recurring|2src|brand
6,TF-Vote-Decay-3.0,0.8965,657,recurring|2src|brand
7,WV-static,0.888,661,recurring|2src|brand
7,TF-Vote-NoDecay,0.9183,661,recurring|2src|brand
7,TF-Vote-Decay-3.0,0.9213,661,recurring|2src|brand
8,WV-static,0.9032,661,recurring|2src|brand
8,TF-Vote-NoDecay,0.9425,661,recurring|2src|brand
8,TF-Vote-Decay-3.0,0.941,661,recurring|2src|brand
1,WV-static,0.7396,338,recurring|2src|title
1,TF-Vote-NoDecay,0.7396,338,recurring|2src|title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|2src|title
2,WV-static,0.7902,491,recurring|2src|title
2,TF-Vote-NoDecay,0.7862,491,recurring|2src|title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|2src|title
3,WV-static,0.8155,580,recurring|2src|title
3,TF-Vote-NoDecay,0.8155,580,recurring|2src|title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|2src|title
4,WV-static,0.8474,629,recurring|2src|title
4,TF-Vote-NoDecay,0.8521,629,recurring|2src|title
4,TF-Vote-Decay-3.0,0.8442,629,recurring|2src|title
5,WV-static,0.8565,648,recurring|2src|title
5,TF-Vote-NoDecay,0.8673,648,recurring|2src|title
5,TF-Vote-Decay-3.0,0.8719,648,recurring|2src|title
6,WV-static,0.8935,657,recurring|2src|title
6,TF-Vote-NoDecay,0.9163,657,recurring|2src|title
6,TF-Vote-Decay-3.0,0.9056,657,recurring|2src|title
7,WV-static,0.9032,661,recurring|2src|title
7,TF-Vote-NoDecay,0.9228,661,recurring|2src|title
7,TF-Vote-Decay-3.0,0.9213,661,recurring|2src|title
8,WV-static,0.9228,661,recurring|2src|title
8,TF-Vote-NoDecay,0.947,661,recurring|2src|title
8,TF-Vote-Decay-3.0,0.9501,661,recurring|2src|title
1,WV-static,0.7396,338,recurring|2src|brand+title
1,TF-Vote-NoDecay,0.7396,338,recurring|2src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|2src|brand+title
2,WV-static,0.7902,491,recurring|2src|brand+title
2,TF-Vote-NoDecay,0.7862,491,recurring|2src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|2src|brand+title
3,WV-static,0.8155,580,recurring|2src|brand+title
3,TF-Vote-NoDecay,0.8155,580,recurring|2src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|2src|brand+title
4,WV-static,0.7981,629,recurring|2src|brand+title
4,TF-Vote-NoDecay,0.8029,629,recurring|2src|brand+title
4,TF-Vote-Decay-3.0,0.7949,629,recurring|2src|brand+title
5,WV-static,0.7994,648,recurring|2src|brand+title
5,TF-Vote-NoDecay,0.8225,648,recurring|2src|brand+title
5,TF-Vote-Decay-3.0,0.8287,648,recurring|2src|brand+title
6,WV-static,0.8463,657,recurring|2src|brand+title
6,TF-Vote-NoDecay,0.8828,657,recurring|2src|brand+title
6,TF-Vote-Decay-3.0,0.8798,657,recurring|2src|brand+title
7,WV-static,0.8487,661,recurring|2src|brand+title
7,TF-Vote-NoDecay,0.8986,661,recurring|2src|brand+title
7,TF-Vote-Decay-3.0,0.8971,661,recurring|2src|brand+title
8,WV-static,0.8563,661,recurring|2src|brand+title
8,TF-Vote-NoDecay,0.9168,661,recurring|2src|brand+title
8,TF-Vote-Decay-3.0,0.9198,661,recurring|2src|brand+title
1,WV-static,0.7396,338,recurring|3src|brand
1,TF-Vote-NoDecay,0.7396,338,recurring|3src|brand
1,TF-Vote-Decay-3.0,0.7396,338,recurring|3src|brand
2,WV-static,0.7902,491,recurring|3src|brand
2,TF-Vote-NoDecay,0.7862,491,recurring|3src|brand
2,TF-Vote-Decay-3.0,0.7882,491,recurring|3src|brand
3,WV-static,0.8155,580,recurring|3src|brand
3,TF-Vote-NoDecay,0.8155,580,recurring|3src|brand
3,TF-Vote-Decay-3.0,0.8172,580,recurring|3src|brand
4,WV-static,0.806,629,recurring|3src|brand
4,TF-Vote-NoDecay,0.806,629,recurring|3src|brand
4,TF-Vote-Decay-3.0,0.8013,629,recurring|3src|brand
5,WV-static,0.8117,648,recurring|3src|brand
5,TF-Vote-NoDecay,0.8179,648,recurring|3src|brand
5,TF-Vote-Decay-3.0,0.8164,648,recurring|3src|brand
6,WV-static,0.86,657,recurring|3src|brand
6,TF-Vote-NoDecay,0.8645,657,recurring|3src|brand
6,TF-Vote-Decay-3.0,0.8661,657,recurring|3src|brand
7,WV-static,0.8669,661,recurring|3src|brand
7,TF-Vote-NoDecay,0.885,661,recurring|3src|brand
7,TF-Vote-Decay-3.0,0.8911,661,recurring|3src|brand
8,WV-static,0.879,661,recurring|3src|brand
8,TF-Vote-NoDecay,0.9107,661,recurring|3src|brand
8,TF-Vote-Decay-3.0,0.9138,661,recurring|3src|brand
1,WV-static,0.7396,338,recurring|3src|title
1,TF-Vote-NoDecay,0.7396,338,recurring|3src|title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|3src|title
2,WV-static,0.7902,491,recurring|3src|title
2,TF-Vote-NoDecay,0.7862,491,recurring|3src|title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|3src|title
3,WV-static,0.8155,580,recurring|3src|title
3,TF-Vote-NoDecay,0.8155,580,recurring|3src|title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|3src|title
4,WV-static,0.841,629,recurring|3src|title
4,TF-Vote-NoDecay,0.8442,629,recurring|3src|title
4,TF-Vote-Decay-3.0,0.8378,629,recurring|3src|title
5,WV-static,0.8519,648,recurring|3src|title
5,TF-Vote-NoDecay,0.858,648,recurring|3src|title
5,TF-Vote-Decay-3.0,0.858,648,recurring|3src|title
6,WV-static,0.8874,657,recurring|3src|title
6,TF-Vote-NoDecay,0.9026,657,recurring|3src|title
6,TF-Vote-Decay-3.0,0.8965,657,recurring|3src|title
7,WV-static,0.8926,661,recurring|3src|title
7,TF-Vote-NoDecay,0.9092,661,recurring|3src|title
7,TF-Vote-Decay-3.0,0.9092,661,recurring|3src|title
8,WV-static,0.9138,661,recurring|3src|title
8,TF-Vote-NoDecay,0.9319,661,recurring|3src|title
8,TF-Vote-Decay-3.0,0.9334,661,recurring|3src|title
1,WV-static,0.7396,338,recurring|3src|brand+title
1,TF-Vote-NoDecay,0.7396,338,recurring|3src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|3src|brand+title
2,WV-static,0.7902,491,recurring|3src|brand+title
2,TF-Vote-NoDecay,0.7862,491,recurring|3src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|3src|brand+title
3,WV-static,0.8155,580,recurring|3src|brand+title
3,TF-Vote-NoDecay,0.8155,580,recurring|3src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|3src|brand+title
4,WV-static,0.7838,629,recurring|3src|brand+title
4,TF-Vote-NoDecay,0.787,629,recurring|3src|brand+title
4,TF-Vote-Decay-3.0,0.779,629,recurring|3src|brand+title
5,WV-static,0.7747,648,recurring|3src|brand+title
5,TF-Vote-NoDecay,0.784,648,recurring|3src|brand+title
5,TF-Vote-Decay-3.0,0.7886,648,recurring|3src|brand+title
6,WV-static,0.8219,657,recurring|3src|brand+title
6,TF-Vote-NoDecay,0.8402,657,recurring|3src|brand+title
6,TF-Vote-Decay-3.0,0.8402,657,recurring|3src|brand+title
7,WV-static,0.8169,661,recurring|3src|brand+title
7,TF-Vote-NoDecay,0.8517,661,recurring|3src|brand+title
7,TF-Vote-Decay-3.0,0.8548,661,recurring|3src|brand+title
8,WV-static,0.823,661,recurring|3src|brand+title
8,TF-Vote-NoDecay,0.8699,661,recurring|3src|brand+title
8,TF-Vote-Decay-3.0,0.8759,661,recurring|3src|brand+title
1,WV-static,0.7396,338,recurring|5src|brand
1,TF-Vote-NoDecay,0.7396,338,recurring|5src|brand
1,TF-Vote-Decay-3.0,0.7396,338,recurring|5src|brand
2,WV-static,0.7902,491,recurring|5src|brand
2,TF-Vote-NoDecay,0.7862,491,recurring|5src|brand
2,TF-Vote-Decay-3.0,0.7882,491,recurring|5src|brand
3,WV-static,0.8155,580,recurring|5src|brand
3,TF-Vote-NoDecay,0.8155,580,recurring|5src|brand
3,TF-Vote-Decay-3.0,0.8172,580,recurring|5src|brand
4,WV-static,0.7965,629,recurring|5src|brand
4,TF-Vote-NoDecay,0.7965,629,recurring|5src|brand
4,TF-Vote-Decay-3.0,0.7917,629,recurring|5src|brand
5,WV-static,0.787,648,recurring|5src|brand
5,TF-Vote-NoDecay,0.7901,648,recurring|5src|brand
5,TF-Vote-Decay-3.0,0.7855,648,recurring|5src|brand
6,WV-static,0.8432,657,recurring|5src|brand
6,TF-Vote-NoDecay,0.8493,657,recurring|5src|brand
6,TF-Vote-Decay-3.0,0.8508,657,recurring|5src|brand
7,WV-static,0.8427,661,recurring|5src|brand
7,TF-Vote-NoDecay,0.8608,661,recurring|5src|brand
7,TF-Vote-Decay-3.0,0.8654,661,recurring|5src|brand
8,WV-static,0.8411,661,recurring|5src|brand
8,TF-Vote-NoDecay,0.8729,661,recurring|5src|brand
8,TF-Vote-Decay-3.0,0.8759,661,recurring|5src|brand
1,WV-static,0.7396,338,recurring|5src|title
1,TF-Vote-NoDecay,0.7396,338,recurring|5src|title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|5src|title
2,WV-static,0.7902,491,recurring|5src|title
2,TF-Vote-NoDecay,0.7862,491,recurring|5src|title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|5src|title
3,WV-static,0.8155,580,recurring|5src|title
3,TF-Vote-NoDecay,0.8155,580,recurring|5src|title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|5src|title
4,WV-static,0.8315,629,recurring|5src|title
4,TF-Vote-NoDecay,0.8315,629,recurring|5src|title
4,TF-Vote-Decay-3.0,0.8283,629,recurring|5src|title
5,WV-static,0.838,648,recurring|5src|title
5,TF-Vote-NoDecay,0.838,648,recurring|5src|title
5,TF-Vote-Decay-3.0,0.838,648,recurring|5src|title
6,WV-static,0.8737,657,recurring|5src|title
6,TF-Vote-NoDecay,0.8843,657,recurring|5src|title
6,TF-Vote-Decay-3.0,0.8782,657,recurring|5src|title
7,WV-static,0.8714,661,recurring|5src|title
7,TF-Vote-NoDecay,0.879,661,recurring|5src|title
7,TF-Vote-Decay-3.0,0.8835,661,recurring|5src|title
8,WV-static,0.8865,661,recurring|5src|title
8,TF-Vote-NoDecay,0.8956,661,recurring|5src|title
8,TF-Vote-Decay-3.0,0.8971,661,recurring|5src|title
1,WV-static,0.7396,338,recurring|5src|brand+title
1,TF-Vote-NoDecay,0.7396,338,recurring|5src|brand+title
1,TF-Vote-Decay-3.0,0.7396,338,recurring|5src|brand+title
2,WV-static,0.7902,491,recurring|5src|brand+title
2,TF-Vote-NoDecay,0.7862,491,recurring|5src|brand+title
2,TF-Vote-Decay-3.0,0.7882,491,recurring|5src|brand+title
3,WV-static,0.8155,580,recurring|5src|brand+title
3,TF-Vote-NoDecay,0.8155,580,recurring|5src|brand+title
3,TF-Vote-Decay-3.0,0.8172,580,recurring|5src|brand+title
4,WV-static,0.7647,629,recurring|5src|brand+title
4,TF-Vote-NoDecay,0.7647,629,recurring|5src|brand+title
4,TF-Vote-Decay-3.0,0.7599,629,recurring|5src|brand+title
5,WV-static,0.7361,648,recurring|5src|brand+title
5,TF-Vote-NoDecay,0.7361,648,recurring|5src|brand+title
5,TF-Vote-Decay-3.0,0.7377,648,recurring|5src|brand+title
6,WV-static,0.7915,657,recurring|5src|brand+title
6,TF-Vote-NoDecay,0.8067,657,recurring|5src|brand+title
6,TF-Vote-Decay-3.0,0.8067,657,recurring|5src|brand+title
7,WV-static,0.7716,661,recurring|5src|brand+title
7,TF-Vote-NoDecay,0.7973,661,recurring|5src|brand+title
7,TF-Vote-Decay-3.0,0.8033,661,recurring|5src|brand+title
8,WV-static,0.7579,661,recurring|5src|brand+title
8,TF-Vote-NoDecay,0.7958,661,recurring|5src|brand+title
8,TF-Vote-Decay-3.0,0.8018,661,recurring|5src|brand+title
